"Overnight stays in Hotels 1997-2016"

"Citizenship","2014 Capital region July","2014 Capital region August","2014 Capital region September","2014 West, Westfjords and Southwest until 2007 July","2014 West, Westfjords and Southwest until 2007 August","2014 West, Westfjords and Southwest until 2007 September","2014 Southwest July","2014 Southwest August","2014 Southwest September","2014 West, Westfjords from 2007 July","2014 West, Westfjords from 2007 August","2014 West, Westfjords from 2007 September","2014 North July","2014 North August","2014 North September","2014 East July","2014 East August","2014 East September","2014 South July","2014 South August","2014 South September","2015 Capital region July","2015 Capital region August","2015 Capital region September","2015 West, Westfjords and Southwest until 2007 July","2015 West, Westfjords and Southwest until 2007 August","2015 West, Westfjords and Southwest until 2007 September","2015 Southwest July","2015 Southwest August","2015 Southwest September","2015 West, Westfjords from 2007 July","2015 West, Westfjords from 2007 August","2015 West, Westfjords from 2007 September","2015 North July","2015 North August","2015 North September","2015 East July","2015 East August","2015 East September","2015 South July","2015 South August","2015 South September","2016 Capital region July","2016 Capital region August","2016 Capital region September","2016 West, Westfjords and Southwest until 2007 July","2016 West, Westfjords and Southwest until 2007 August","2016 West, Westfjords and Southwest until 2007 September","2016 Southwest July","2016 Southwest August","2016 Southwest September","2016 West, Westfjords from 2007 July","2016 West, Westfjords from 2007 August","2016 West, Westfjords from 2007 September","2016 North July","2016 North August","2016 North September","2016 East July","2016 East August","2016 East September","2016 South July","2016 South August","2016 South September"
"Iceland",12980,12767,15891,.,.,.,1690,2196,1666,2756,3225,3593,2511,2843,5817,1131,1156,1479,4649,4683,4662,11660,13265,12580,.,.,.,1700,1303,2182,3232,3091,3135,2726,3147,4242,1359,1520,2151,4793,5876,5353,11207,12747,13673,.,.,.,1871,2926,4068,4249,4340,4679,3521,3738,4328,3638,3105,2810,7020,6149,7999
"Foreigners",151247,144892,108918,.,.,.,13182,13662,7607,16772,13817,7617,28810,26533,12292,17727,16409,5973,45964,45466,22903,181325,177639,141264,.,.,.,15905,16357,11409,19029,16882,10680,33164,31222,18497,26101,25531,13421,62840,55992,36305,229579,221395,186852,.,.,.,19702,18520,21795,26886,23866,15608,44810,46226,31333,31622,31923,21360,62418,63424,45536
"Denmark",6137,4840,7272,.,.,.,709,580,298,673,341,212,1536,973,476,525,260,128,2224,1330,588,6171,4864,6102,.,.,.,787,433,61,917,468,218,1150,782,531,740,455,168,2299,1014,1181,8240,6738,6688,.,.,.,451,506,573,976,536,401,1295,744,685,620,444,285,2420,1401,981
"Sweden",8885,8018,8781,.,.,.,242,258,117,387,357,179,448,462,430,207,386,54,1140,1022,857,9343,9433,10382,.,.,.,222,46,70,434,198,89,644,605,237,298,165,162,1219,1263,442,9861,10759,11749,.,.,.,293,149,294,231,249,418,617,642,412,242,152,254,824,1143,925
"Norway",6191,8279,8798,.,.,.,263,292,122,566,157,193,392,390,250,158,114,88,1218,922,558,4483,7125,9512,.,.,.,253,59,82,128,155,62,457,489,269,179,131,59,870,642,936,3935,5921,8825,.,.,.,149,98,462,167,110,121,473,188,299,402,119,62,580,346,288
"Faroe Island",149,262,628,.,.,.,79,16,65,2,12,4,14,58,6,38,87,6,31,81,0,498,228,124,.,.,.,12,0,0,0,8,3,24,24,16,16,17,28,10,8,14,177,257,167,.,.,.,4,3,6,2,14,0,36,15,4,13,33,23,0,20,16
"Greenland",77,108,250,.,.,.,75,35,61,0,0,0,6,4,1,0,0,0,0,0,0,108,300,200,.,.,.,15,2,6,0,0,0,5,24,24,2,0,4,2,3,0,60,151,153,.,.,.,20,26,26,0,0,2,1,3,2,0,2,0,2,8,23
"Finland",1707,1636,3069,.,.,.,134,157,113,13,4,41,147,60,97,32,18,14,136,205,170,2140,3247,2826,.,.,.,96,42,66,28,30,26,66,154,39,52,83,61,146,103,110,1956,2556,4258,.,.,.,74,55,72,36,14,40,125,70,91,73,26,51,279,138,85
"United Kingdom",17661,15102,15602,.,.,.,1118,1301,1338,1666,1314,1550,2097,2054,1007,1256,1407,506,3683,4456,3373,18543,20892,20295,.,.,.,1949,2213,1855,1678,1824,993,1477,1760,1262,2032,1519,1210,7202,4708,4706,25270,23864,25604,.,.,.,2067,1871,2555,2997,2250,1774,2733,2871,2451,2745,2390,1825,5898,6345,5114
"Ireland",180,199,167,.,.,.,44,38,24,4,16,20,97,63,17,10,15,2,38,46,50,597,373,327,.,.,.,39,26,23,0,23,24,48,54,136,14,32,37,137,140,128,455,378,1385,.,.,.,44,70,59,21,16,15,49,42,82,17,25,35,57,172,174
"Germany",34454,28689,12100,.,.,.,3053,2717,886,4390,3526,1260,6954,6483,2410,4545,3614,1089,10956,8926,2692,41421,33135,21959,.,.,.,3129,2720,1891,5629,3704,1493,10154,7613,3037,7790,6608,2820,12983,10800,3955,46574,43222,26287,.,.,.,2355,2390,2006,5663,3839,1471,9761,8699,4636,8068,7643,3025,12714,11749,4792
